@relation brain_tumor_classification
@attribute contrast REAL
@attribute correlation REAL
@attribute energy REAL
@attribute homogeneity REAL
@attribute mean REAL
@attribute standard_deviation REAL
@attribute entropy REAL
@attribute rms REAL
@attribute variance REAL
@attribute smoothness REAL
@attribute kurtosis REAL
@attribute skewness REAL
@attribute idm REAL
@attribute label {BENIGN, MALIGNANT}
    
@data 
0.0567,0.8343,0.6044,0.9716,0.0050,0.0897,3.6268,0.0898,0.0080,0.9490,6.4577,0.6046,-0.8737,BENIGN
0.0638,0.8407,0.5400,0.9681,0.0037,0.0897,3.0254,0.0898,0.0081,0.9319,7.4034,0.6668,-0.2146,BENIGN
0.1241,0.6687,0.5169,0.9380,0.0035,0.0897,3.6143,0.0898,0.0080,0.9294,5.2907,0.4001,2.1459,MALIGNANT
0.0331,0.8303,0.7728,0.9834,0.0035,0.0897,3.5538,0.0898,0.0080,0.9292,6.2913,0.4755,2.6173,MALIGNANT
0.0385,0.8569,0.6937,0.9807,0.0031,0.0898,3.3192,0.0898,0.0080,0.9204,7.2035,0.6541,0.9732,BENIGN
0.0495,0.7611,0.7455,0.9752,0.0077,0.0895,2.9561,0.0898,0.0080,0.9663,7.9415,0.9230,0.9093,BENIGN
0.0267,0.8279,0.8187,0.9866,0.0066,0.0896,3.5015,0.0898,0.0080,0.9611,8.8606,0.9335,1.3221,MALIGNANT
0.0195,0.8545,0.8465,0.9902,0.0037,0.0897,3.1616,0.0898,0.0080,0.9318,9.5809,0.8528,0.5644,MALIGNANT
0.0937,0.7617,0.5218,0.9531,0.0042,0.0897,3.3665,0.0898,0.0081,0.9401,6.3659,0.5730,-0.1892,BENIGN
0.0528,0.8744,0.5299,0.9736,0.0054,0.0897,3.6839,0.0898,0.0080,0.9522,5.5327,0.4131,1.6363,MALIGNANT
0.0477,0.8240,0.6836,0.9762,0.0057,0.0896,3.6989,0.0898,0.0080,0.9547,6.0864,0.5192,1.6978,MALIGNANT
0.0395,0.8699,0.6585,0.9803,0.0039,0.0897,3.5886,0.0898,0.0080,0.9349,6.5424,0.6830,1.4279,MALIGNANT
0.0378,0.8441,0.7213,0.9811,0.0037,0.0897,3.5684,0.0898,0.0080,0.9316,5.6068,0.4820,1.0286,MALIGNANT
0.0310,0.7557,0.8433,0.9845,0.0033,0.0898,3.3280,0.0898,0.0080,0.9253,13.4618,1.1712,0.3674,BENIGN
0.0249,0.7118,0.8892,0.9875,0.0060,0.0896,3.5071,0.0898,0.0081,0.9573,9.3099,0.7614,2.0702,MALIGNANT
0.0264,0.8016,0.8413,0.9868,0.0051,0.0897,3.5655,0.0898,0.0080,0.9503,7.5968,0.5597,1.0945,MALIGNANT
0.0184,0.8931,0.8094,0.9908,0.0043,0.0897,3.2942,0.0898,0.0081,0.9417,8.2681,0.6947,0.4730,MALIGNANT
